Site,Treatment,Plot,Year,Date,Ice_Depth_cm
Permafrost Plateau ,Snow,5,2009,7/17/2009,29.3
Permafrost Plateau ,Snow,6,2009,7/17/2009,26
Permafrost Plateau ,Control,1,2009,7/18/2009,32.3
Permafrost Plateau ,Control,2,2009,7/18/2009,31.7
Permafrost Plateau ,Control,3,2009,7/18/2009,29.5
Permafrost Plateau ,Control,4,2009,7/18/2009,5.5
Permafrost Plateau ,Control,5,2009,7/18/2009,30.5
Permafrost Plateau ,Control,6,2009,7/18/2009,39.3
Permafrost Plateau ,Snow,1,2009,7/18/2009,49
Permafrost Plateau ,Snow,2,2009,7/18/2009,31.7
Permafrost Plateau ,Snow,3,2009,7/18/2009,31.1
Permafrost Plateau ,Snow,4,2009,7/18/2009,30.9
Permafrost Plateau ,Snow,5,2009,7/18/2009,31
Permafrost Plateau ,Snow,6,2009,7/18/2009,36
Permafrost Plateau ,Control,1,2009,7/23/2009,38.2
Permafrost Plateau ,Control,2,2009,7/23/2009,34.9
Permafrost Plateau ,Control,3,2009,7/23/2009,29.6
Permafrost Plateau ,Control,4,2009,7/23/2009,26
Permafrost Plateau ,Control,5,2009,7/23/2009,33
Permafrost Plateau ,Control,6,2009,7/23/2009,39.9
Permafrost Plateau ,Snow,1,2009,7/23/2009,42.2
Permafrost Plateau ,Snow,2,2009,7/23/2009,24.2
Permafrost Plateau ,Snow,3,2009,7/23/2009,35.7
Permafrost Plateau ,Snow,4,2009,7/23/2009,35
Permafrost Plateau ,Snow,5,2009,7/23/2009,31.7
Permafrost Plateau ,Snow,6,2009,7/23/2009,38.6
Permafrost Plateau ,Control,1,2009,7/24/2009,33.4
Permafrost Plateau ,Control,2,2009,7/24/2009,35
Permafrost Plateau ,Control,3,2009,7/24/2009,23.2
Permafrost Plateau ,Control,4,2009,7/24/2009,25.3
Permafrost Plateau ,Control,5,2009,7/24/2009,29.6
Permafrost Plateau ,Control,6,2009,7/24/2009,41.9
Permafrost Plateau ,Snow,1,2009,7/24/2009,31.3
Permafrost Plateau ,Snow,2,2009,7/24/2009,26.5
Permafrost Plateau ,Snow,3,2009,7/24/2009,34.4
Permafrost Plateau ,Snow,4,2009,7/24/2009,32.8
Permafrost Plateau ,Snow,5,2009,7/24/2009,30.4
Permafrost Plateau ,Snow,6,2009,7/24/2009,41
Permafrost Plateau ,Control,1,2009,7/29/2009,43.5
Permafrost Plateau ,Control,2,2009,7/29/2009,38.3
Permafrost Plateau ,Control,3,2009,7/29/2009,31.6
Permafrost Plateau ,Control,4,2009,7/29/2009,26.2
Permafrost Plateau ,Control,5,2009,7/29/2009,35.2
Permafrost Plateau ,Control,6,2009,7/29/2009,35.4
Permafrost Plateau ,Snow,1,2009,7/29/2009,36.7
Permafrost Plateau ,Snow,2,2009,7/29/2009,43.3
Permafrost Plateau ,Snow,3,2009,7/29/2009,38.6
Permafrost Plateau ,Snow,4,2009,7/29/2009,32.7
Permafrost Plateau ,Snow,5,2009,7/29/2009,31.1
Permafrost Plateau ,Snow,6,2009,7/29/2009,39.1
Permafrost Plateau ,Control,1,2009,7/31/2009,38.5
Permafrost Plateau ,Control,2,2009,7/31/2009,33.4
Permafrost Plateau ,Control,3,2009,7/31/2009,33.9
Permafrost Plateau ,Control,4,2009,7/31/2009,41.8
Permafrost Plateau ,Control,5,2009,7/31/2009,40
Permafrost Plateau ,Control,6,2009,7/31/2009,46.7
Permafrost Plateau ,Snow,1,2009,7/31/2009,42.3
Permafrost Plateau ,Snow,2,2009,7/31/2009,46.1
Permafrost Plateau ,Snow,3,2009,7/31/2009,33
Permafrost Plateau ,Snow,4,2009,7/31/2009,33
Permafrost Plateau ,Snow,5,2009,7/31/2009,36.8
Permafrost Plateau ,Snow,6,2009,7/31/2009,39.6
Permafrost Plateau ,Control,1,2009,8/3/2009,41.4
Permafrost Plateau ,Control,2,2009,8/3/2009,39.7
Permafrost Plateau ,Control,3,2009,8/3/2009,32.6
Permafrost Plateau ,Control,4,2009,8/3/2009,28.5
Permafrost Plateau ,Control,5,2009,8/3/2009,32.1
Permafrost Plateau ,Control,6,2009,8/3/2009,45
Permafrost Plateau ,Snow,1,2009,8/3/2009,44.4
Permafrost Plateau ,Snow,2,2009,8/3/2009,45
Permafrost Plateau ,Snow,3,2009,8/3/2009,39
Permafrost Plateau ,Snow,4,2009,8/3/2009,37.9
Permafrost Plateau ,Snow,5,2009,8/3/2009,31.6
Permafrost Plateau ,Snow,6,2009,8/3/2009,27.2
Permafrost Plateau ,Control,1,2009,8/7/2009,41.6
Permafrost Plateau ,Control,2,2009,8/7/2009,39.4
Permafrost Plateau ,Control,3,2009,8/7/2009,33.5
Permafrost Plateau ,Control,4,2009,8/7/2009,26.8
Permafrost Plateau ,Control,5,2009,8/7/2009,40.2
Permafrost Plateau ,Control,6,2009,8/7/2009,41.3
Permafrost Plateau ,Snow,1,2009,8/7/2009,43.7
Permafrost Plateau ,Snow,2,2009,8/7/2009,48
Permafrost Plateau ,Snow,3,2009,8/7/2009,41.7
Permafrost Plateau ,Snow,4,2009,8/7/2009,38.4
Permafrost Plateau ,Snow,5,2009,8/7/2009,32.6
Permafrost Plateau ,Snow,6,2009,8/7/2009,39.6
Permafrost Plateau ,Control,1,2009,8/8/2009,40.3
Permafrost Plateau ,Control,2,2009,8/8/2009,38.1
Permafrost Plateau ,Control,3,2009,8/8/2009,35
Permafrost Plateau ,Control,4,2009,8/8/2009,37.5
Permafrost Plateau ,Control,5,2009,8/8/2009,40.9
Permafrost Plateau ,Control,6,2009,8/8/2009,46.9
Permafrost Plateau ,Control,1,2009,8/10/2009,40.6
Permafrost Plateau ,Control,2,2009,8/10/2009,41
Permafrost Plateau ,Control,3,2009,8/10/2009,33.5
Permafrost Plateau ,Control,4,2009,8/10/2009,33.9
Permafrost Plateau ,Control,5,2009,8/10/2009,42.7
Permafrost Plateau ,Control,6,2009,8/10/2009,44.9
Permafrost Plateau ,Snow,1,2009,8/10/2009,53.9
Permafrost Plateau ,Snow,2,2009,8/10/2009,38.3
Permafrost Plateau ,Snow,3,2009,8/10/2009,42.4
Permafrost Plateau ,Snow,4,2009,8/10/2009,38.5
Permafrost Plateau ,Snow,5,2009,8/10/2009,38.4
Permafrost Plateau ,Snow,6,2009,8/10/2009,37.9
Permafrost Plateau ,Control,1,2009,8/13/2009,28
Permafrost Plateau ,Control,2,2009,8/13/2009,39.5
Permafrost Plateau ,Control,3,2009,8/13/2009,32.5
Permafrost Plateau ,Control,4,2009,8/13/2009,22.5
Permafrost Plateau ,Control,5,2009,8/13/2009,30
Permafrost Plateau ,Control,6,2009,8/13/2009,29.5
Permafrost Plateau ,Snow,1,2009,8/13/2009,32.2
Permafrost Plateau ,Snow,2,2009,8/13/2009,37
Permafrost Plateau ,Snow,3,2009,8/13/2009,39.5
Permafrost Plateau ,Snow,4,2009,8/13/2009,35.5
Permafrost Plateau ,Snow,5,2009,8/13/2009,35.5
Permafrost Plateau ,Snow,6,2009,8/13/2009,41.5
Permafrost Plateau ,Control,1,2010,5/18/2010,22.9
Permafrost Plateau ,Control,2,2010,5/18/2010,16.8
